ID,Geslacht,Leeftijd,Gemeenten,Perioden,TotaleBevolking100_1
108850,2,100,NL01,2016JJ00,8561985
108867,2,100,GM0361,2016JJ00,54349
108884,2,100,GM0034,2016JJ00,99905
108901,2,100,GM0484,2016JJ00,54336
108918,2,100,GM0307,2016JJ00,78033
108935,2,100,GM0363,2016JJ00,422016
108952,2,100,GM0200,2016JJ00,80216
108969,2,100,GM0202,2016JJ00,77202
108986,2,100,GM0758,2016JJ00,92520
109003,2,100,GM0503,2016JJ00,47096
109020,2,100,GM0505,2016JJ00,60219
109037,2,100,GM0228,2016JJ00,57126
109054,2,100,GM0772,2016JJ00,109703
109071,2,100,GM0114,2016JJ00,54194
109088,2,100,GM0153,2016JJ00,77932
109105,2,100,GM0518,2016JJ00,262946
109122,2,100,GM0014,2016JJ00,100793
109139,2,100,GM0392,2016JJ00,80743
109156,2,100,GM0394,2016JJ00,72691
109173,2,100,GM0796,2016JJ00,76801
109190,2,100,GM0080,2016JJ00,54490
109207,2,100,GM0546,2016JJ00,62936
109224,2,100,GM0935,2016JJ00,63624
109241,2,100,GM0268,2016JJ00,89187
109258,2,100,GM0599,2016JJ00,319406
109275,2,100,GM0855,2016JJ00,106933
109292,2,100,GM0344,2016JJ00,173608
109309,2,100,GM0983,2016JJ00,50529
109326,2,100,GM1783,2016JJ00,52672
109343,2,100,GM0479,2016JJ00,77122
109360,2,100,GM0637,2016JJ00,63501
109377,2,100,GM0193,2016JJ00,63554
109394,2,100,GM9999,2016JJ00,5425602
109411,2,000,NL01,2016JJ00,83003
109428,2,000,GM0361,2016JJ00,536
109445,2,000,GM0034,2016JJ00,1103
109462,2,000,GM0484,2016JJ00,548
109479,2,000,GM0307,2016JJ00,856
109496,2,000,GM0363,2016JJ00,5154
109513,2,000,GM0200,2016JJ00,772
109530,2,000,GM0202,2016JJ00,860
109547,2,000,GM0758,2016JJ00,928
109564,2,000,GM0503,2016JJ00,452
109581,2,000,GM0505,2016JJ00,629
109598,2,000,GM0228,2016JJ00,634
109615,2,000,GM0772,2016JJ00,1056
109632,2,000,GM0114,2016JJ00,426
109649,2,000,GM0153,2016JJ00,725
109666,2,000,GM0518,2016JJ00,3238
109683,2,000,GM0014,2016JJ00,971
109700,2,000,GM0392,2016JJ00,928
109717,2,000,GM0394,2016JJ00,595
109734,2,000,GM0796,2016JJ00,796
109751,2,000,GM0080,2016JJ00,516
109768,2,000,GM0546,2016JJ00,592
109785,2,000,GM0935,2016JJ00,444
109802,2,000,GM0268,2016JJ00,854
109819,2,000,GM0599,2016JJ00,3746
109836,2,000,GM0855,2016JJ00,1031
109853,2,000,GM0344,2016JJ00,2392
109870,2,000,GM0983,2016JJ00,402
109887,2,000,GM1783,2016JJ00,522
109904,2,000,GM0479,2016JJ00,831
109921,2,000,GM0637,2016JJ00,597
109938,2,000,GM0193,2016JJ00,748
109955,2,000,GM9999,2016JJ00,49121
109972,2,001,NL01,2016JJ00,85997
109989,2,001,GM0361,2016JJ00,600
110006,2,001,GM0034,2016JJ00,1215
110023,2,001,GM0484,2016JJ00,567
110040,2,001,GM0307,2016JJ00,927
110057,2,001,GM0363,2016JJ00,5014
110074,2,001,GM0200,2016JJ00,738
110091,2,001,GM0202,2016JJ00,855
110108,2,001,GM0758,2016JJ00,950
110125,2,001,GM0503,2016JJ00,420
110142,2,001,GM0505,2016JJ00,680
110159,2,001,GM0228,2016JJ00,650
110176,2,001,GM0772,2016JJ00,1175
110193,2,001,GM0114,2016JJ00,462
110210,2,001,GM0153,2016JJ00,738
110227,2,001,GM0518,2016JJ00,3270
110244,2,001,GM0014,2016JJ00,905
110261,2,001,GM0392,2016JJ00,971
110278,2,001,GM0394,2016JJ00,656
110295,2,001,GM0796,2016JJ00,880
110312,2,001,GM0080,2016JJ00,548
110329,2,001,GM0546,2016JJ00,575
110346,2,001,GM0935,2016JJ00,404
110363,2,001,GM0268,2016JJ00,852
110380,2,001,GM0599,2016JJ00,3766
110397,2,001,GM0855,2016JJ00,1092
110414,2,001,GM0344,2016JJ00,2322
110431,2,001,GM0983,2016JJ00,422
110448,2,001,GM1783,2016JJ00,476
110465,2,001,GM0479,2016JJ00,793
110482,2,001,GM0637,2016JJ00,677
110499,2,001,GM0193,2016JJ00,768
110516,2,001,GM9999,2016JJ00,51629
110533,2,002,NL01,2016JJ00,83887
110550,2,002,GM0361,2016JJ00,545
110567,2,002,GM0034,2016JJ00,1135
110584,2,002,GM0484,2016JJ00,517
110601,2,002,GM0307,2016JJ00,926
110618,2,002,GM0363,2016JJ00,4486
110635,2,002,GM0200,2016JJ00,730
110652,2,002,GM0202,2016JJ00,835
110669,2,002,GM0758,2016JJ00,875
110686,2,002,GM0503,2016JJ00,457
110703,2,002,GM0505,2016JJ00,631
110720,2,002,GM0228,2016JJ00,647
110737,2,002,GM0772,2016JJ00,1083
110754,2,002,GM0114,2016JJ00,481
110771,2,002,GM0153,2016JJ00,765
110788,2,002,GM0518,2016JJ00,3100
110805,2,002,GM0014,2016JJ00,856
110822,2,002,GM0392,2016JJ00,912
110839,2,002,GM0394,2016JJ00,699
110856,2,002,GM0796,2016JJ00,810
110873,2,002,GM0080,2016JJ00,504
110890,2,002,GM0546,2016JJ00,579
110907,2,002,GM0935,2016JJ00,425
110924,2,002,GM0268,2016JJ00,795
110941,2,002,GM0599,2016JJ00,3617
110958,2,002,GM0855,2016JJ00,1048
110975,2,002,GM0344,2016JJ00,2179
110992,2,002,GM0983,2016JJ00,450
111009,2,002,GM1783,2016JJ00,526
111026,2,002,GM0479,2016JJ00,790
111043,2,002,GM0637,2016JJ00,656
111060,2,002,GM0193,2016JJ00,744
111077,2,002,GM9999,2016JJ00,51084
111094,2,003,NL01,2016JJ00,86398
111111,2,003,GM0361,2016JJ00,563
111128,2,003,GM0034,2016JJ00,1255
111145,2,003,GM0484,2016JJ00,576
111162,2,003,GM0307,2016JJ00,1005
111179,2,003,GM0363,2016JJ00,4412
111196,2,003,GM0200,2016JJ00,759
111213,2,003,GM0202,2016JJ00,893
111230,2,003,GM0758,2016JJ00,954
111247,2,003,GM0503,2016JJ00,402
111264,2,003,GM0505,2016JJ00,640
111281,2,003,GM0228,2016JJ00,707
111298,2,003,GM0772,2016JJ00,1092
111315,2,003,GM0114,2016JJ00,517
111332,2,003,GM0153,2016JJ00,772
111349,2,003,GM0518,2016JJ00,3149
111366,2,003,GM0014,2016JJ00,849
111383,2,003,GM0392,2016JJ00,921
111400,2,003,GM0394,2016JJ00,723
111417,2,003,GM0796,2016JJ00,741
111434,2,003,GM0080,2016JJ00,542
111451,2,003,GM0546,2016JJ00,559
111468,2,003,GM0935,2016JJ00,444
111485,2,003,GM0268,2016JJ00,803
111502,2,003,GM0599,2016JJ00,3576
111519,2,003,GM0855,2016JJ00,1041
111536,2,003,GM0344,2016JJ00,2124
111553,2,003,GM0983,2016JJ00,497
111570,2,003,GM1783,2016JJ00,541
111587,2,003,GM0479,2016JJ00,815
111604,2,003,GM0637,2016JJ00,687
111621,2,003,GM0193,2016JJ00,797
111638,2,003,GM9999,2016JJ00,53042
111655,2,004,NL01,2016JJ00,88257
111672,2,004,GM0361,2016JJ00,567
111689,2,004,GM0034,2016JJ00,1214
111706,2,004,GM0484,2016JJ00,610
