Key,Title
NL01,Nederland
GM0361,Alkmaar
GM0034,Almere
GM0484,Alphen a/d Rijn
GM0307,Amersfoort
GM0363,Amsterdam
GM0200,Apeldoorn
GM0202,Arnhem
GM0758,Breda
GM0503,Delft
GM0505,Dordrecht
GM0228,Ede
GM0772,Eindhoven
GM0114,Emmen
GM0153,Enschede
GM0518,'s-Gravenhage (gemeente)
GM0014,Groningen (gemeente)
GM0392,Haarlem
GM0394,Haarlemmermeer
GM0796,'s-Hertogenbosch
GM0080,Leeuwarden
GM0546,Leiden
GM0935,Maastricht
GM0268,Nijmegen
GM0599,Rotterdam
GM0855,Tilburg
GM0344,Utrecht (gemeente)
GM0983,Venlo
GM1783,Westland
GM0479,Zaanstad
GM0637,Zoetermeer
GM0193,Zwolle
GM9999,Overige gemeenten
